lateral	-38.5	-37.5	-36.5	-35.5	-34.5	-33.5	-32.5	-31.5	-30.5	-29.5	-28.5	-27.5	-26.5	-25.5	-24.5	-23.5	-22.5	-21.5	-20.5	-19.5	-18.5	-17.5	-16.5	-15.5	-14.5	-13.5	-12.5	-11.5	-10.5	-9.5	-8.5	-7.5	-6.5	-5.5	-4.5	-3.5	-2.5	-1.5	-0.5	0.5	1.5	2.5	3.5	4.5	5.5	6.5	7.5	8.5	9.5	10.5	11.5	12.5	13.5	14.5	15.5	16.5	17.5	18.5	19.5	20.5	21.5	22.5	23.5	24.5	25.5	26.5	27.5	28.5	29.5	30.5	31.5	32.5	33.5	34.5	35.5
DFB	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
mm																																																																											
13	20344.491	7839.386	8258.243	6642.189	5836.911	5106.294	4619.526	4864.536	4809.482	5084.821	4754.96	4513.064	4341.725	4034.943	3736.831	3282.641	2945.008	2691.528	2451.832	2249.026	1984.036	1722.908	1409.535	1112.822	786.92	511.446	271.671	119.538	26.736	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	26.736	119.538	271.671	511.446	786.92	1112.822	1409.535	1722.908	1984.036	2249.026	2451.832	2691.528	2945.008	3282.641	3736.831	4034.943	4341.725	4513.064	4754.96	5084.821	4809.482	4864.536	4619.526	5106.294	5836.911	6642.189
14	23524.778	5722.973	7130.261	6407.177	6279.442	5857.526	5386.69	5347.385	5068.748	4895.858	4671.454	4446.09	4242.296	3946.787	3608.741	3187.921	2833.676	2560.132	2263.263	1984.297	1680.264	1340.941	984.619	669.371	401.282	172.931	49.503	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	49.503	172.931	401.282	669.371	984.619	1340.941	1680.264	1984.297	2263.263	2560.132	2833.676	3187.921	3608.741	3946.787	4242.296	4446.09	4671.454	4895.858	5068.748	5347.385	5386.69	5857.526	6279.442	6407.177
15	26961.711	6265.437	7680.153	6741.504	6580.871	6278.301	5795.648	5479.983	5431.771	5134.74	4661.36	4390.841	4026.828	3774.336	3355.757	3020.329	2657.452	2346.471	2008.958	1675.764	1312.106	956.283	628.465	348.014	143.133	28.591	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	28.591	143.133	348.014	628.465	956.283	1312.106	1675.764	2008.958	2346.471	2657.452	3020.329	3355.757	3774.336	4026.828	4390.841	4661.36	5134.74	5431.771	5479.983	5795.648	6278.301	6580.871	6741.504
16	19036.814	6730.338	8029.631	7250.317	7018.34	6637.419	6176.849	5831.152	5589.378	5299.24	4558.652	4236.21	3822.934	3529.049	3198.798	2803.688	2483.938	2106.277	1746.564	1333.91	977.399	640.095	343.902	144.435	26.755	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	26.755	144.435	343.902	640.095	977.399	1333.91	1746.564	2106.277	2483.938	2803.688	3198.798	3529.049	3822.934	4236.21	4558.652	5299.24	5589.378	5831.152	6176.849	6637.419	7018.34	7250.317
17	17026.437	6291.493	7796.864	7321.915	7284.835	6999.142	6561.057	5994.85	5602.092	5176.999	4711.381	4098.223	3722.495	3352.674	2941.573	2597.653	2187.22	1817.092	1435.019	1069.401	727.642	410.334	175.538	35.441	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	35.441	175.538	410.334	727.642	1069.401	1435.019	1817.092	2187.22	2597.653	2941.573	3352.674	3722.495	4098.223	4711.381	5176.999	5602.092	5994.85	6561.057	6999.142	7284.835	7321.915
18	17570.559	6672.104	7863.41	7193.493	6950.54	6549.053	6113.957	5854.834	5450.417	5124.789	4612.677	4067.369	3616.676	3202.352	2808.956	2360.501	1936.348	1561.492	1163.622	780.678	468.884	223.691	60.407	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	60.407	223.691	468.884	780.678	1163.622	1561.492	1936.348	2360.501	2808.956	3202.352	3616.676	4067.369	4612.677	5124.789	5450.417	5854.834	6113.957	6549.053	6950.54	7193.493
19	16337.58	7268.852	8077.519	7247.384	6846.84	6414.672	6020.346	5804.32	5482.241	5004.121	4461.707	3920.528	3475.638	2998.451	2580.237	2135.593	1687.174	1278.951	891.616	577.604	322.094	107.732	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	107.732	322.094	577.604	891.616	1278.951	1687.174	2135.593	2580.237	2998.451	3475.638	3920.528	4461.707	5004.121	5482.241	5804.32	6020.346	6414.672	6846.84	7247.384
20	17043.362	6409.19	7525.976	6925.886	6706.008	6338.976	5974.037	5658.171	5328.635	4803.474	4257.176	3703.968	3221.248	2761.27	2334.158	1872.206	1434.384	1042.415	707.739	435.091	203.928	38.489	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	38.489	203.928	435.091	707.739	1042.415	1434.384	1872.206	2334.158	2761.27	3221.248	3703.968	4257.176	4803.474	5328.635	5658.171	5974.037	6338.976	6706.008	6925.886
21	14454.132	6667.121	7540.247	6947.062	6698.697	6378.425	6037.085	5790.712	5209.748	4776.052	4149.305	3565.476	3002.636	2498.448	2068.056	1570.008	1173.12	778.676	497.907	268.598	103.594	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	103.594	268.598	497.907	778.676	1173.12	1570.008	2068.056	2498.448	3002.636	3565.476	4149.305	4776.052	5209.748	5790.712	6037.085	6378.425	6698.697	6947.062
22	13840.321	6474.504	7008.298	6381.27	6205.322	5990.253	5731.149	5328.476	4940.543	4319.428	3842.859	3220.106	2753.482	2245.191	1764.758	1348.1	941.43	611.33	386.656	172.13	45.561	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	45.561	172.13	386.656	611.33	941.43	1348.1	1764.758	2245.191	2753.482	3220.106	3842.859	4319.428	4940.543	5328.476	5731.149	5990.253	6205.322	6381.27
