lateral	-38.5	-37.5	-36.5	-35.5	-34.5	-33.5	-32.5	-31.5	-30.5	-29.5	-28.5	-27.5	-26.5	-25.5	-24.5	-23.5	-22.5	-21.5	-20.5	-19.5	-18.5	-17.5	-16.5	-15.5	-14.5	-13.5	-12.5	-11.5	-10.5	-9.5	-8.5	-7.5	-6.5	-5.5	-4.5	-3.5	-2.5	-1.5	-0.5	0.5	1.5	2.5	3.5	4.5	5.5	6.5	7.5	8.5	9.5	10.5	11.5	12.5	13.5	14.5	15.5	16.5	17.5	18.5	19.5	20.5	21.5	22.5	23.5	24.5	25.5	26.5	27.5	28.5	29.5	30.5	31.5	32.5	33.5	34.5	35.5
DFB	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
mm																																																																											
12	1077.428	1151.047	1140.766	1150.852	1157.795	1171.877	1193.002	1226.662	1235.863	1278.973	1310.515	1333.423	1374.479	1413.245	1463.885	1535.307	1607.921	1683.796	1759.581	1826.084	1888.624	1941.381	1993.812	2038.728	2091.159	2141.39	2200.085	2274.171	2373.135	2558.559	2922.781	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2922.781	2558.559	2373.135	2274.171	2200.085	2141.39	2091.159	2038.728	1993.812	1941.381	1888.624	1826.084	1759.581	1683.796	1607.921	1535.307	1463.885	1413.245	1374.479	1333.423	1310.515	1278.973	1235.863	1226.662	1193.002	1171.877	1157.795	1150.852
13	1095.388	1096.185	1113.755	1141.87	1172.034	1206.834	1241.311	1253.982	1276.304	1290.991	1332.078	1369.505	1407.989	1459.802	1516.979	1593.908	1669.062	1741.416	1809.126	1868.415	1927.927	1980.764	2037.887	2088.931	2157.148	2228.9	2345.298	2511.363	2935.986	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2935.986	2511.363	2345.298	2228.9	2157.148	2088.931	2037.887	1980.764	1927.927	1868.415	1809.126	1741.416	1669.062	1593.908	1516.979	1459.802	1407.989	1369.505	1332.078	1290.991	1276.304	1253.982	1241.311	1206.834	1172.034	1141.87
14	1085.498	1168.477	1160.769	1175.73	1188.945	1212.327	1242.284	1263.069	1295.885	1327.997	1366.259	1405.616	1452.098	1502.192	1564.927	1639.151	1714.626	1780.636	1845.276	1901.754	1957.316	2012.321	2075.44	2142.824	2224.047	2384.671	2680.667	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2680.667	2384.671	2224.047	2142.824	2075.44	2012.321	1957.316	1901.754	1845.276	1780.636	1714.626	1639.151	1564.927	1502.192	1452.098	1405.616	1366.259	1327.997	1295.885	1263.069	1242.284	1212.327	1188.945	1175.73
15	1081.304	1165.891	1162.689	1182.976	1199.367	1221.99	1253.729	1288.811	1310.727	1347.173	1394.683	1437.983	1490.548	1543.468	1611.77	1678.483	1746.764	1809.695	1868.13	1922.171	1977.654	2038.299	2106.716	2203.136	2365.097	2765.717	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2765.717	2365.097	2203.136	2106.716	2038.299	1977.654	1922.171	1868.13	1809.695	1746.764	1678.483	1611.77	1543.468	1490.548	1437.983	1394.683	1347.173	1310.727	1288.811	1253.729	1221.99	1199.367	1182.976
16	1141.172	1165.847	1170.456	1189.682	1210.334	1236.516	1268.145	1297.457	1329.077	1364.583	1421.797	1470.181	1529.258	1581.589	1642.635	1707.487	1766.658	1824.961	1878.539	1935.795	1991.853	2055.603	2154.256	2299.607	2691.791	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2691.791	2299.607	2154.256	2055.603	1991.853	1935.795	1878.539	1824.961	1766.658	1707.487	1642.635	1581.589	1529.258	1470.181	1421.797	1364.583	1329.077	1297.457	1268.145	1236.516	1210.334	1189.682
17	1163.635	1192.584	1190.12	1204.125	1219.989	1243.111	1273.133	1312.938	1347.264	1386.726	1435.142	1494.873	1548.535	1606.21	1667.85	1726.458	1783.626	1834.476	1884.096	1933.074	1986.5	2067.504	2199.321	2549.579	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2549.579	2199.321	2067.504	1986.5	1933.074	1884.096	1834.476	1783.626	1726.458	1667.85	1606.21	1548.535	1494.873	1435.142	1386.726	1347.264	1312.938	1273.133	1243.111	1219.989	1204.125
18	1167.115	1186.416	1194.926	1215.694	1239.252	1268.377	1301.458	1331.717	1368.849	1408.525	1456.381	1512.166	1567.824	1623.067	1677.987	1734.67	1789.21	1834.033	1881.507	1939.145	2007.265	2107.59	2352.179	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2352.179	2107.59	2007.265	1939.145	1881.507	1834.033	1789.21	1734.67	1677.987	1623.067	1567.824	1512.166	1456.381	1408.525	1368.849	1331.717	1301.458	1268.377	1239.252	1215.694
19	1180.352	1175.204	1195.748	1222.656	1252.537	1284.688	1317.993	1347.353	1382.198	1423.105	1470.994	1524.929	1576.588	1631.013	1682.778	1734.532	1787.08	1832.821	1884.335	1936.77	2001.071	2166.64	2760.585	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2760.585	2166.64	2001.071	1936.77	1884.335	1832.821	1787.08	1734.532	1682.778	1631.013	1576.588	1524.929	1470.994	1423.105	1382.198	1347.353	1317.993	1284.688	1252.537	1222.656
20	1171.619	1202.152	1213.92	1238.241	1263.929	1294.052	1325.934	1360.128	1394.078	1437.026	1486.337	1537.572	1589.341	1637.153	1682.866	1730.866	1776.095	1822.71	1864.885	1912.522	1995.42	2298.405	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2298.405	1995.42	1912.522	1864.885	1822.71	1776.095	1730.866	1682.866	1637.153	1589.341	1537.572	1486.337	1437.026	1394.078	1360.128	1325.934	1294.052	1263.929	1238.241
21	1188.734	1189.22	1210.378	1238	1266.999	1297.591	1329.328	1358.795	1402.416	1439.562	1490.182	1542.23	1589.901	1637.56	1679.918	1728.541	1769.218	1823.055	1865.731	1928.396	2037.539	2698.08	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2698.08	2037.539	1928.396	1865.731	1823.055	1769.218	1728.541	1679.918	1637.56	1589.901	1542.23	1490.182	1439.562	1402.416	1358.795	1329.328	1297.591	1266.999	1238
