lateral	-38.5	-37.5	-36.5	-35.5	-34.5	-33.5	-32.5	-31.5	-30.5	-29.5	-28.5	-27.5	-26.5	-25.5	-24.5	-23.5	-22.5	-21.5	-20.5	-19.5	-18.5	-17.5	-16.5	-15.5	-14.5	-13.5	-12.5	-11.5	-10.5	-9.5	-8.5	-7.5	-6.5	-5.5	-4.5	-3.5	-2.5	-1.5	-0.5	0.5	1.5	2.5	3.5	4.5	5.5	6.5	7.5	8.5	9.5	10.5	11.5	12.5	13.5	14.5	15.5	16.5	17.5	18.5	19.5	20.5	21.5	22.5	23.5	24.5	25.5	26.5	27.5	28.5	29.5	30.5	31.5	32.5	33.5	34.5	35.5
DFB	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
mm																																																																											
13	-1	-1	1665.048	1380.636	1240.65	1225.625	1267.16	1326.99	1416.868	1484.749	1536.212	1601.172	1640.998	1692.983	1731.617	1787.808	1854.411	1948.366	2084.837	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2084.837	1948.366	1854.411	1787.808	1731.617	1692.983	1640.998	1601.172	1536.212	1484.749	1416.868	1326.99	1267.16	1225.625	1240.65	1380.636
14	-1	-1	-1	1409.573	1221.491	1205.735	1244.472	1333.296	1409.787	1477.794	1515.22	1585.552	1636.904	1674.789	1712.048	1777.869	1831.467	1943.039	2166.965	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2166.965	1943.039	1831.467	1777.869	1712.048	1674.789	1636.904	1585.552	1515.22	1477.794	1409.787	1333.296	1244.472	1205.735	1221.491	1409.573
15	-1	-1	1745.785	1346.876	1259.762	1257.354	1288.53	1364.483	1424.782	1479.687	1517.232	1559.445	1609.37	1652.275	1715.278	1766.951	1836.144	2054.741	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2054.741	1836.144	1766.951	1715.278	1652.275	1609.37	1559.445	1517.232	1479.687	1424.782	1364.483	1288.53	1257.354	1259.762	1346.876
16	-1	-1	1371.311	1240.554	1254.4	1279.396	1312.978	1381.609	1444.769	1496.136	1526.098	1577.817	1620.29	1658.258	1684.116	1747.618	1786.365	1842.799	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1842.799	1786.365	1747.618	1684.116	1658.258	1620.29	1577.817	1526.098	1496.136	1444.769	1381.609	1312.978	1279.396	1254.4	1240.554
17	-1	-1	1487.827	1281.616	1241.629	1247.742	1270.426	1337.498	1403.412	1448.085	1513.71	1552.309	1591.2	1620.326	1684.527	1780.331	1892.971	2024.007	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2024.007	1892.971	1780.331	1684.527	1620.326	1591.2	1552.309	1513.71	1448.085	1403.412	1337.498	1270.426	1247.742	1241.629	1281.616
18	-1	1507.572	1330.811	1308.831	1323.707	1335.361	1353.09	1361.382	1430.893	1467.066	1470.731	1527.982	1545.83	1586.963	1645.681	1659.163	1773.549	-1	-1	-1	-1	-1	-1	-1	-1	2060.988	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2060.988	-1	-1	-1	-1	-1	-1	-1	-1	1773.549	1659.163	1645.681	1586.963	1545.83	1527.982	1470.731	1467.066	1430.893	1361.382	1353.09	1335.361	1323.707	1308.831
19	-1	1667.013	1315.157	1286.606	1291.949	1305.478	1323.581	1367.548	1408.075	1425.524	1491.072	1516.672	1532.102	1556.663	1584.477	1662.895	1735.446	1842.192	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1842.192	1735.446	1662.895	1584.477	1556.663	1532.102	1516.672	1491.072	1425.524	1408.075	1367.548	1323.581	1305.478	1291.949	1286.606
20	-1	-1	1564.219	1380.335	1295.293	1271.326	1272.145	1334.317	1392.571	1419.13	1458.895	1473.647	1529.098	1566.711	1645.357	1648.125	1598.772	-1	-1	-1	1848.55	1810.74	1856.648	1874.353	1948.485	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1948.485	1874.353	1856.648	1810.74	1848.55	-1	-1	-1	1598.772	1648.125	1645.357	1566.711	1529.098	1473.647	1458.895	1419.13	1392.571	1334.317	1272.145	1271.326	1295.293	1380.335
21	-1	1622.994	1451.959	1326.547	1255.828	1227.204	1224.506	1293.166	1344.838	1390.252	1427.098	1481.714	1516.142	1552.987	1663.247	1759.36	-1	1802.487	1839.384	1885.187	-1	-1	2005.058	1989.412	2049.97	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2049.97	1989.412	2005.058	-1	-1	1885.187	1839.384	1802.487	-1	1759.36	1663.247	1552.987	1516.142	1481.714	1427.098	1390.252	1344.838	1293.166	1224.506	1227.204	1255.828	1326.547
22	-1	1512.988	1376.629	1334.607	1314.331	1305.529	1303.431	1303.882	1358.79	1349.8	1348.534	1382.504	1456.341	1498.467	1418.522	1562.035	1539.914	1763.735	-1	1921.77	1877.549	1806.399	1942.232	1984.502	1972.372	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1972.372	1984.502	1942.232	1806.399	1877.549	1921.77	-1	1763.735	1539.914	1562.035	1418.522	1498.467	1456.341	1382.504	1348.534	1349.8	1358.79	1303.882	1303.431	1305.529	1314.331	1334.607
