lateral	-37.5	-36.5	-35.5	-34.5	-33.5	-32.5	-31.5	-30.5	-29.5	-28.5	-27.5	-26.5	-25.5	-24.5	-23.5	-22.5	-21.5	-20.5	-19.5	-18.5	-17.5	-16.5	-15.5	-14.5	-13.5	-12.5	-11.5	-10.5	-9.5	-8.5	-7.5	-6.5	-5.5	-4.5	-3.5	-2.5	-1.5	-0.5	0.5	1.5	2.5	3.5	4.5	5.5	6.5	7.5	8.5	9.5	10.5	11.5	12.5	13.5	14.5	15.5	16.5	17.5	18.5	19.5	20.5	21.5	22.5	23.5	24.5	25.5	26.5	27.5	28.5	29.5	30.5	31.5	32.5	33.5	34.5	35.5	36.5	37.5	38.5
DFB	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
13	-0.3663	0.17755	0.16414	0.19335	0.19059	0.19236	0.20538	0.20525	0.26371	0.4935	0.7439	0.73597	1.05401	0.90974	1.28099	1.3616	1.71607	1.90434	2.24412	2.78927	3.05215	3.49059	3.66028	4.26614	4.93099	4.8979	5.2861	5.36223	5.30468	5.59685	5.75389	6.02614	5.50324	5.38158	5.26905	5.20102	5.1858	5.22343	5.30555	5.30555	5.22343	5.1858	5.20102	5.26905	5.38158	5.50324	6.02614	5.75389	5.59685	5.30468	5.36223	5.2861	4.8979	4.93099	4.26614	3.66028	3.49059	3.05215	2.78927	2.24412	1.90434	1.71607	1.3616	1.28099	0.90974	1.05401	0.73597	0.7439	0.4935	0.26371	0.20525	0.20538	0.19236	0.19059	0.19335	0.16414	0.17755
14	-0.81006	0.15155	0.14718	0.22876	0.25036	0.26836	0.2874	0.33882	0.32743	0.51892	0.51158	0.63568	0.81821	1.02195	1.16628	1.28173	1.7143	1.73315	2.26674	2.26764	2.42752	2.75212	2.80728	3.32139	3.83349	4.02512	4.36246	4.23329	4.68403	4.85275	5.01473	4.50369	4.41494	4.25167	4.13241	4.03082	4.0104	4.07118	4.14963	4.14963	4.07118	4.0104	4.03082	4.13241	4.25167	4.41494	4.50369	5.01473	4.85275	4.68403	4.23329	4.36246	4.02512	3.83349	3.32139	2.80728	2.75212	2.42752	2.26764	2.26674	1.73315	1.7143	1.28173	1.16628	1.02195	0.81821	0.63568	0.51158	0.51892	0.32743	0.33882	0.2874	0.26836	0.25036	0.22876	0.14718	0.15155
15	0.03751	0.30567	0.23844	0.17191	0.08803	0.01905	-0.02015	-0.02029	0.12944	0.36918	0.39368	0.75655	0.73182	1.06008	0.91831	1.107	1.1222	1.43961	1.53543	1.71921	1.88165	2.12765	2.32097	2.82079	2.8555	3.29093	3.3598	3.10461	3.69504	3.757	3.90103	3.91288	3.56357	3.67639	3.63689	3.56815	3.58225	3.67919	3.7469	3.7469	3.67919	3.58225	3.56815	3.63689	3.67639	3.56357	3.91288	3.90103	3.757	3.69504	3.10461	3.3598	3.29093	2.8555	2.82079	2.32097	2.12765	1.88165	1.71921	1.53543	1.43961	1.1222	1.107	0.91831	1.06008	0.73182	0.75655	0.39368	0.36918	0.12944	-0.02029	-0.02015	0.01905	0.08803	0.17191	0.23844	0.30567
16	0.42831	-0.07788	-0.03044	-0.01705	0.04058	0.10972	0.18676	0.20844	0.30106	0.5594	0.47775	0.48089	0.256	0.52956	0.58846	0.72092	0.88292	1.03403	1.25287	1.59948	1.59848	1.82069	1.89636	2.07866	2.04769	2.40801	2.5178	2.82828	2.82607	2.83585	3.06783	3.31112	3.19281	3.36806	3.38949	3.3421	3.36401	3.45521	3.47759	3.47759	3.45521	3.36401	3.3421	3.38949	3.36806	3.19281	3.31112	3.06783	2.83585	2.82607	2.82828	2.5178	2.40801	2.04769	2.07866	1.89636	1.82069	1.59848	1.59948	1.25287	1.03403	0.88292	0.72092	0.58846	0.52956	0.256	0.48089	0.47775	0.5594	0.30106	0.20844	0.18676	0.10972	0.04058	-0.01705	-0.03044	-0.07788
17	-0.02802	0.25335	0.23955	0.22862	0.19267	0.15355	0.11791	0.07092	0.11407	0.03147	0.23547	0.4102	0.44892	0.53626	0.5645	0.90524	0.73968	0.93087	1.07756	1.07724	1.24502	0.96792	1.1726	1.16214	1.08567	1.68612	1.79227	2.04481	2.15797	2.52986	2.80736	2.5703	3.12583	2.80658	2.69265	2.53455	2.49465	2.57293	2.60706	2.60706	2.57293	2.49465	2.53455	2.69265	2.80658	3.12583	2.5703	2.80736	2.52986	2.15797	2.04481	1.79227	1.68612	1.08567	1.16214	1.1726	0.96792	1.24502	1.07724	1.07756	0.93087	0.73968	0.90524	0.5645	0.53626	0.44892	0.4102	0.23547	0.03147	0.11407	0.07092	0.11791	0.15355	0.19267	0.22862	0.23955	0.25335
18	-0.2189	0.22445	0.14724	0.09736	0.02303	-0.03372	-0.05847	0.10129	0.21203	0.38803	0.39284	0.60321	0.54962	0.53415	0.42904	0.49585	0.48637	0.45885	0.75529	0.86112	1.21141	1.19337	1.05372	1.17899	1.07713	1.36064	0.902	1.38693	1.49269	1.56758	1.81911	1.64351	2.07158	1.95289	1.99891	2.07598	2.06115	1.9544	1.87871	1.87871	1.9544	2.06115	2.07598	1.99891	1.95289	2.07158	1.64351	1.81911	1.56758	1.49269	1.38693	0.902	1.36064	1.07713	1.17899	1.05372	1.19337	1.21141	0.86112	0.75529	0.45885	0.48637	0.49585	0.42904	0.53415	0.54962	0.60321	0.39284	0.38803	0.21203	0.10129	-0.05847	-0.03372	0.02303	0.09736	0.14724	0.22445
19	0.0929	0.03019	0.03706	0.03999	0.05274	0.07337	0.10353	0.14854	0.25383	0.33279	0.26403	0.47774	0.36384	0.48424	0.45813	0.57873	0.59782	0.61107	0.56108	0.73809	0.66572	0.93229	0.63055	0.74567	0.82553	1.0957	1.22313	1.34598	1.26011	1.41648	1.66904	1.8051	1.69786	1.85857	1.87284	1.82357	1.84366	1.93311	1.95902	1.95902	1.93311	1.84366	1.82357	1.87284	1.85857	1.69786	1.8051	1.66904	1.41648	1.26011	1.34598	1.22313	1.0957	0.82553	0.74567	0.63055	0.93229	0.66572	0.73809	0.56108	0.61107	0.59782	0.57873	0.45813	0.48424	0.36384	0.47774	0.26403	0.33279	0.25383	0.14854	0.10353	0.07337	0.05274	0.03999	0.03706	0.03019
20	-0.49914	0.25932	0.19489	0.18346	0.12243	0.06833	0.034	0.15535	0.19588	0.18848	0.40836	0.41576	0.39076	0.34584	0.24221	0.46599	0.19628	0.42591	0.51184	0.6846	0.4593	0.51031	0.70676	0.60791	0.64191	0.89584	0.8228	0.97498	1.1201	1.49059	1.24715	1.67081	1.53449	1.66536	1.62881	1.4891	1.50546	1.67789	1.74716	1.74716	1.67789	1.50546	1.4891	1.62881	1.66536	1.53449	1.67081	1.24715	1.49059	1.1201	0.97498	0.8228	0.89584	0.64191	0.60791	0.70676	0.51031	0.4593	0.6846	0.51184	0.42591	0.19628	0.46599	0.24221	0.34584	0.39076	0.41576	0.40836	0.18848	0.19588	0.15535	0.034	0.06833	0.12243	0.18346	0.19489	0.25932
21	0.01236	0.09544	0.06304	0.03065	-0.00675	-0.03735	-0.05533	-0.10885	-0.0074	0.10069	0.13294	0.44743	0.2717	0.25196	0.09243	0.3579	0.53852	0.68505	0.48309	0.58889	0.66273	0.81978	0.44236	0.39826	0.06194	0.48024	0.41122	0.81781	0.96043	0.74047	0.59219	1.1492	1.33244	1.1435	1.06156	0.93605	0.91243	0.99071	1.0254	1.0254	0.99071	0.91243	0.93605	1.06156	1.1435	1.33244	1.1492	0.59219	0.74047	0.96043	0.81781	0.41122	0.48024	0.06194	0.39826	0.44236	0.81978	0.66273	0.58889	0.48309	0.68505	0.53852	0.3579	0.09243	0.25196	0.2717	0.44743	0.13294	0.10069	-0.0074	-0.10885	-0.05533	-0.03735	-0.00675	0.03065	0.06304	0.09544
22	0.16042	0.03454	0.0559	0.06134	0.073	0.08145	0.08527	-0.07795	-0.02762	0.07963	0.41791	0.23406	0.13069	0.03365	-0.0382	0.08826	0.29635	0.53885	0.49008	0.32441	0.33786	0.37247	0.53677	0.33221	0.1831	0.31423	0.6172	0.84301	0.78187	1.24564	1.23377	1.09804	0.71884	0.72506	0.68797	0.69605	0.69683	0.6903	0.72894	0.72894	0.6903	0.69683	0.69605	0.68797	0.72506	0.71884	1.09804	1.23377	1.24564	0.78187	0.84301	0.6172	0.31423	0.1831	0.33221	0.53677	0.37247	0.33786	0.32441	0.49008	0.53885	0.29635	0.08826	-0.0382	0.03365	0.13069	0.23406	0.41791	0.07963	-0.02762	-0.07795	0.08527	0.08145	0.073	0.06134	0.0559	0.03454
