lateral	-37.5	-36.5	-35.5	-34.5	-33.5	-32.5	-31.5	-30.5	-29.5	-28.5	-27.5	-26.5	-25.5	-24.5	-23.5	-22.5	-21.5	-20.5	-19.5	-18.5	-17.5	-16.5	-15.5	-14.5	-13.5	-12.5	-11.5	-10.5	-9.5	-8.5	-7.5	-6.5	-5.5	-4.5	-3.5	-2.5	-1.5	-0.5	0.5	1.5	2.5	3.5	4.5	5.5	6.5	7.5	8.5	9.5	10.5	11.5	12.5	13.5	14.5	15.5	16.5	17.5	18.5	19.5	20.5	21.5	22.5	23.5	24.5	25.5	26.5	27.5	28.5	29.5	30.5	31.5	32.5	33.5	34.5	35.5	36.5	37.5	38.5
DFB	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
14	2.3887	-2.24456	-3.5332	-3.01512	-2.13984	-1.11355	-0.19796	-1.39883	0.41509	-0.80067	0.77454	-2.69597	-0.93156	-1.37494	-7.64516	-10.36521	-2.31135	0.27904	0.80078	2.36059	6.72272	8.90703	23.06885	25.28873	41.45849	46.94108	54.74006	66.40643	86.46481	96.06321	110.2906	118.0301	121.332	129.8858	136.7889	144.919	145.9882	139.9965	135.2319	135.2319	139.9965	145.9882	144.919	136.7889	129.8858	121.332	118.0301	110.2906	96.06321	86.46481	66.40643	54.74006	46.94108	41.45849	25.28873	23.06885	8.90703	6.72272	2.36059	0.80078	0.27904	-2.31135	-10.36521	-7.64516	-1.37494	-0.93156	-2.69597	0.77454	-0.80067	0.41509	-1.39883	-0.19796	-1.11355	-2.13984	-3.01512	-3.5332	-2.24456
15	-7.26164	0.47112	0.52632	0.11392	0	0	-0.08271	-0.79061	-0.72511	-1.72183	0.43215	-0.59259	0.86528	-1.28679	-5.01406	-12.07039	-10.36301	-5.35405	-4.92912	-1.80418	0.82193	9.78676	23.63846	34.72652	45.5098	55.26364	59.98952	66.57876	85.20055	98.47109	103.5547	109.7196	112.1034	122.9954	131.1763	140.899	142.2605	135.2607	129.8028	129.8028	135.2607	142.2605	140.899	131.1763	122.9954	112.1034	109.7196	103.5547	98.47109	85.20055	66.57876	59.98952	55.26364	45.5098	34.72652	23.63846	9.78676	0.82193	-1.80418	-4.92912	-5.35405	-10.36301	-12.07039	-5.01406	-1.28679	0.86528	-0.59259	0.43215	-1.72183	-0.72511	-0.79061	-0.08271	0	0	0.11392	0.52632	0.47112
16	-14.06406	0.76516	-0.43631	-0.24507	-0.72514	-1.37287	-2.13732	-3.57935	-0.52708	0.30584	-1.91716	1.09594	2.2127	-1.37912	-2.54186	-3.45978	-2.0145	0.28618	-5.29778	-1.90205	2.24016	11.0437	21.41439	35.14597	43.15393	47.28855	61.78577	72.87491	85.7034	93.64218	103.0425	109.0246	115.9502	121.6084	127.4104	134.1289	134.8362	129.5323	125.1448	125.1448	129.5323	134.8362	134.1289	127.4104	121.6084	115.9502	109.0246	103.0425	93.64218	85.7034	72.87491	61.78577	47.28855	43.15393	35.14597	21.41439	11.0437	2.24016	-1.90205	-5.29778	0.28618	-2.0145	-3.45978	-2.54186	-1.37912	2.2127	1.09594	-1.91716	0.30584	-0.52708	-3.57935	-2.13732	-1.37287	-0.72514	-0.24507	-0.43631	0.76516
17	-8.10744	-4.18505	-3.62739	-1.96061	-0.77693	0	0	1.08866	-0.26768	-0.35867	-0.97775	0.40881	0.76093	-0.3223	-3.67742	-5.88835	0.03423	-3.51729	1.8769	1.07057	5.43017	16.23755	21.17222	37.81844	39.60283	52.89293	50.33277	64.65138	74.57178	81.84218	86.05099	95.52071	98.82355	107.6397	114.5767	122.5731	123.6752	117.8827	113.1499	113.1499	117.8827	123.6752	122.5731	114.5767	107.6397	98.82355	95.52071	86.05099	81.84218	74.57178	64.65138	50.33277	52.89293	39.60283	37.81844	21.17222	16.23755	5.43017	1.07057	1.8769	-3.51729	0.03423	-5.88835	-3.67742	-0.3223	0.76093	0.40881	-0.97775	-0.35867	-0.26768	1.08866	0	0	-0.77693	-1.96061	-3.62739	-4.18505
18	-5.90609	1.43838	0.81061	0.09249	-0.66398	-1.1642	-1.61285	-1.30083	-0.20365	0.33003	1.3635	3.0191	2.63818	2.30732	-3.14835	-1.00245	-4.29204	-2.96771	-1.17214	1.50159	8.95865	10.44914	17.63215	28.1005	35.92159	46.05067	51.94387	58.80318	70.22892	79.46104	85.54662	95.08647	99.26386	100.0646	103.8018	109.5264	109.6265	104.1021	100.565	100.565	104.1021	109.6265	109.5264	103.8018	100.0646	99.26386	95.08647	85.54662	79.46104	70.22892	58.80318	51.94387	46.05067	35.92159	28.1005	17.63215	10.44914	8.95865	1.50159	-1.17214	-2.96771	-4.29204	-1.00245	-3.14835	2.30732	2.63818	3.0191	1.3635	0.33003	-0.20365	-1.30083	-1.61285	-1.1642	-0.66398	0.09249	0.81061	1.43838
19	-0.91576	1.08149	0.52111	0.04004	-0.59106	-1.08986	-0.94421	0	0	-0.38562	-2.96736	-4.04744	-1.68001	-2.87529	-1.7251	-5.223	-1.42277	0.92332	5.05687	9.25227	9.19995	16.88398	23.30775	31.30719	39.07812	42.88966	50.39272	49.61649	57.74347	66.90942	73.68585	82.07387	86.79267	95.91592	101.6357	106.6246	107.7649	105.0569	101.6179	101.6179	105.0569	107.7649	106.6246	101.6357	95.91592	86.79267	82.07387	73.68585	66.90942	57.74347	49.61649	50.39272	42.88966	39.07812	31.30719	23.30775	16.88398	9.19995	9.25227	5.05687	0.92332	-1.42277	-5.223	-1.7251	-2.87529	-1.68001	-4.04744	-2.96736	-0.38562	0	0	-0.94421	-1.08986	-0.59106	0.04004	0.52111	1.08149
20	-4.85528	0.05751	0.05049	0	-0.14277	-1.05818	-1.39634	0.72021	-0.86884	-3.18168	-0.28732	-0.77705	0.26375	-1.01902	0.20253	-1.73717	-4.00388	0.50681	4.50955	6.17294	7.46521	14.02937	22.77085	30.33579	36.38112	41.45157	40.61065	51.92908	56.51122	66.74966	73.51052	75.27928	86.04859	92.12276	97.29062	102.0075	102.7667	99.56846	95.91912	95.91912	99.56846	102.7667	102.0075	97.29062	92.12276	86.04859	75.27928	73.51052	66.74966	56.51122	51.92908	40.61065	41.45157	36.38112	30.33579	22.77085	14.02937	7.46521	6.17294	4.50955	0.50681	-4.00388	-1.73717	0.20253	-1.01902	0.26375	-0.77705	-0.28732	-3.18168	-0.86884	0.72021	-1.39634	-1.05818	-0.14277	0	0.05049	0.05751
21	-17.84824	0.69461	0.48337	0.84761	0.34676	0	0	0	0	1.72778	1.6719	-0.2103	1.41904	-3.28784	-3.18195	-5.93737	0.58026	4.62169	3.32335	5.98312	8.75907	16.73318	22.56948	29.30862	34.20565	41.15708	44.55061	51.32608	59.29546	68.50378	71.10849	75.32399	77.22843	78.73452	82.06908	87.2157	87.40396	82.63387	79.67584	79.67584	82.63387	87.40396	87.2157	82.06908	78.73452	77.22843	75.32399	71.10849	68.50378	59.29546	51.32608	44.55061	41.15708	34.20565	29.30862	22.56948	16.73318	8.75907	5.98312	3.32335	4.62169	0.58026	-5.93737	-3.18195	-3.28784	1.41904	-0.2103	1.6719	1.72778	0	0	0	0	0.34676	0.84761	0.48337	0.69461
22	-8.07191	1.53447	0.5692	0.05448	-1.04081	-2.12215	-3.02931	-0.9343	-0.35056	-6.11624	-3.72722	-1.12902	-0.11037	-0.01579	0.92786	-1.40745	-0.19649	-0.3168	4.45195	5.58515	10.04534	14.14536	22.4605	29.65219	31.80682	38.39413	42.77525	45.14298	52.88191	59.11567	61.85829	64.78987	64.3918	67.81598	70.91928	75.25194	75.67996	72.20334	69.9561	69.9561	72.20334	75.67996	75.25194	70.91928	67.81598	64.3918	64.78987	61.85829	59.11567	52.88191	45.14298	42.77525	38.39413	31.80682	29.65219	22.4605	14.14536	10.04534	5.58515	4.45195	-0.3168	-0.19649	-1.40745	0.92786	-0.01579	-0.11037	-1.12902	-3.72722	-6.11624	-0.35056	-0.9343	-3.02931	-2.12215	-1.04081	0.05448	0.5692	1.53447
23	-4.48788	0	0	0	0	0	0	-3.70165	-6.68305	-6.05053	-2.13733	1.20563	2.71657	0.07923	-1.27055	0.20329	-0.13292	-0.82477	3.81169	1.49064	5.59773	10.61911	20.18245	26.15018	30.2954	32.834	39.60394	45.24842	49.63046	54.488	55.80259	62.9858	65.74409	68.69592	72.52785	75.9907	76.35968	73.63478	70.54082	70.54082	73.63478	76.35968	75.9907	72.52785	68.69592	65.74409	62.9858	55.80259	54.488	49.63046	45.24842	39.60394	32.834	30.2954	26.15018	20.18245	10.61911	5.59773	1.49064	3.81169	-0.82477	-0.13292	0.20329	-1.27055	0.07923	2.71657	1.20563	-2.13733	-6.05053	-6.68305	-3.70165	0	0	0	0	0	0
