lateral	-38.5	-37.5	-36.5	-35.5	-34.5	-33.5	-32.5	-31.5	-30.5	-29.5	-28.5	-27.5	-26.5	-25.5	-24.5	-23.5	-22.5	-21.5	-20.5	-19.5	-18.5	-17.5	-16.5	-15.5	-14.5	-13.5	-12.5	-11.5	-10.5	-9.5	-8.5	-7.5	-6.5	-5.5	-4.5	-3.5	-2.5	-1.5	-0.5	0.5	1.5	2.5	3.5	4.5	5.5	6.5	7.5	8.5	9.5	10.5	11.5	12.5	13.5	14.5	15.5	16.5	17.5	18.5	19.5	20.5	21.5	22.5	23.5	24.5	25.5	26.5	27.5	28.5	29.5	30.5	31.5	32.5	33.5	34.5	35.5	36.5	37.5	38.5
DFB	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
13	0	0.093	0.75157	0.98864	1.20289	1.32237	1.35304	0.90174	0.91055	0.7134	0.55902	0.57458	0.78349	0.97638	1.40623	1.78683	1.93977	1.75627	1.75385	1.3491	1.74221	1.37022	1.33112	1.31962	1.37306	1.37874	1.31417	1.05326	1.20492	1.13749	1.45321	1.42215	1.64081	1.76861	1.86521	1.93952	1.95549	1.91313	1.84848	1.84848	1.91313	1.95549	1.93952	1.86521	1.76861	1.64081	1.42215	1.45321	1.13749	1.20492	1.05326	1.31417	1.37874	1.37306	1.31962	1.33112	1.37022	1.74221	1.3491	1.75385	1.75627	1.93977	1.78683	1.40623	0.97638	0.78349	0.57458	0.55902	0.7134	0.91055	0.90174	1.35304	1.32237	1.20289	0.98864	0.75157	0.093	0
14	0.92017	0.8093	0.91965	0.94369	0.95256	0.93972	0.91229	0.87787	0.71489	0.63404	0.72424	0.93286	0.94068	1.34595	1.88767	1.87454	1.90128	2.05074	1.77545	1.79658	1.39082	0.90354	0.80069	0.94631	1.04977	1.36303	1.55581	1.57626	1.78981	1.96818	2.13882	2.44113	2.21581	2.01102	1.91288	1.85446	1.82886	1.83609	1.88302	1.88302	1.83609	1.82886	1.85446	1.91288	2.01102	2.21581	2.44113	2.13882	1.96818	1.78981	1.57626	1.55581	1.36303	1.04977	0.94631	0.80069	0.90354	1.39082	1.79658	1.77545	2.05074	1.90128	1.87454	1.88767	1.34595	0.94068	0.93286	0.72424	0.63404	0.71489	0.87787	0.91229	0.93972	0.95256	0.94369	0.91965	0.8093	0.92017
15	1.29883	0.61631	0.78708	0.8401	0.92616	0.99743	1.05295	0.92041	1.12341	0.90865	1.09505	1.16368	1.13311	1.26657	1.60409	1.99971	2.2842	2.01333	1.30347	1.42526	1.53394	1.21236	1.04927	0.69675	0.88756	1.21163	1.60488	1.82477	2.34576	1.4217	1.52881	2.27987	2.33759	1.94227	1.80039	1.69049	1.64108	1.65215	1.69519	1.69519	1.65215	1.64108	1.69049	1.80039	1.94227	2.33759	2.27987	1.52881	1.4217	2.34576	1.82477	1.60488	1.21163	0.88756	0.69675	1.04927	1.21236	1.53394	1.42526	1.30347	2.01333	2.2842	1.99971	1.60409	1.26657	1.13311	1.16368	1.09505	0.90865	1.12341	0.92041	1.05295	0.99743	0.92616	0.8401	0.78708	0.61631	1.29883
16	0.08076	0.88609	0.99552	1.10175	1.13025	1.12444	1.09234	1.05244	0.95197	0.81194	0.79621	1.05848	0.97479	1.03931	1.31843	1.4723	1.85361	2.00364	1.49855	1.80961	1.71119	1.72024	1.50263	1.72688	1.48902	1.53136	2.08391	2.09055	2.42382	1.78377	1.44884	1.80283	1.72373	1.36834	1.33432	1.46958	1.42515	1.20105	1.14622	1.14622	1.20105	1.42515	1.46958	1.33432	1.36834	1.72373	1.80283	1.44884	1.78377	2.42382	2.09055	2.08391	1.53136	1.48902	1.72688	1.50263	1.72024	1.71119	1.80961	1.49855	2.00364	1.85361	1.4723	1.31843	1.03931	0.97479	1.05848	0.79621	0.81194	0.95197	1.05244	1.09234	1.12444	1.13025	1.10175	0.99552	0.88609	0.08076
17	0	0.14845	0.48556	0.77022	1.03779	1.25187	1.39286	1.22019	1.12595	0.80248	0.73961	1.23509	0.87366	1.2993	1.34094	1.82702	2.22051	2.09501	2.02212	1.84136	1.75867	1.51023	1.50878	1.96892	1.73816	1.94953	1.59138	1.74093	1.86561	2.12287	1.77323	2.4374	2.26274	2.55003	2.61945	2.6054	2.64131	2.72719	2.72958	2.72958	2.72719	2.64131	2.6054	2.61945	2.55003	2.26274	2.4374	1.77323	2.12287	1.86561	1.74093	1.59138	1.94953	1.73816	1.96892	1.50878	1.51023	1.75867	1.84136	2.02212	2.09501	2.22051	1.82702	1.34094	1.2993	0.87366	1.23509	0.73961	0.80248	1.12595	1.22019	1.39286	1.25187	1.03779	0.77022	0.48556	0.14845	0
18	0.4901	0.69891	0.86785	0.99504	1.08888	1.14898	1.17418	0.87538	1.13857	0.8643	1.26187	1.1804	0.96862	1.31663	1.47734	1.84055	1.86667	1.80124	1.629	1.37473	1.42846	1.16559	1.41238	1.47054	1.6448	1.55376	1.81363	2.44882	2.78477	2.21333	2.0998	1.93299	1.52923	1.3736	1.29795	1.33393	1.31447	1.23959	1.27634	1.27634	1.23959	1.31447	1.33393	1.29795	1.3736	1.52923	1.93299	2.0998	2.21333	2.78477	2.44882	1.81363	1.55376	1.6448	1.47054	1.41238	1.16559	1.42846	1.37473	1.629	1.80124	1.86667	1.84055	1.47734	1.31663	0.96862	1.1804	1.26187	0.8643	1.13857	0.87538	1.17418	1.14898	1.08888	0.99504	0.86785	0.69891	0.4901
19	0	0.72704	1.08713	1.19204	1.22855	1.20955	1.15901	1.21363	0.82725	0.78576	0.73777	0.87919	1.14082	1.19405	1.32182	1.41691	1.856	1.7717	1.80019	1.49555	1.05631	1.68151	1.14136	1.37301	1.56878	1.45308	1.84734	1.96744	2.40821	2.31309	2.33591	2.79411	2.48486	2.87863	2.93252	2.8702	2.91942	3.08019	3.12473	3.12473	3.08019	2.91942	2.8702	2.93252	2.87863	2.48486	2.79411	2.33591	2.31309	2.40821	1.96744	1.84734	1.45308	1.56878	1.37301	1.14136	1.68151	1.05631	1.49555	1.80019	1.7717	1.856	1.41691	1.32182	1.19405	1.14082	0.87919	0.73777	0.78576	0.82725	1.21363	1.15901	1.20955	1.22855	1.19204	1.08713	0.72704	0
20	1.18762	0.95029	1.02689	0.98924	0.94047	0.87488	0.80586	0.75361	0.71497	0.50629	0.57626	1.02899	1.09912	1.17809	1.57162	1.78015	1.78395	1.31883	1.59775	1.68256	1.28992	1.3978	1.40111	1.86203	1.55369	1.54692	1.94262	1.76824	1.18394	2.00376	1.68814	2.98908	1.88638	2.46137	2.55613	2.58699	2.65886	2.77175	2.82074	2.82074	2.77175	2.65886	2.58699	2.55613	2.46137	1.88638	2.98908	1.68814	2.00376	1.18394	1.76824	1.94262	1.54692	1.55369	1.86203	1.40111	1.3978	1.28992	1.68256	1.59775	1.31883	1.78395	1.78015	1.57162	1.17809	1.09912	1.02899	0.57626	0.50629	0.71497	0.75361	0.80586	0.87488	0.94047	0.98924	1.02689	0.95029	1.18762
21	0.92414	0.88773	1.01514	1.05296	1.06379	1.04274	0.99579	0.96776	0.65184	0.46611	0.79537	0.77476	0.84379	1.3815	1.71555	2.05257	2.21008	1.82729	1.83331	1.56529	1.22438	0.81014	1.01785	0.906	1.15658	1.50355	1.79742	1.96908	2.25639	2.00633	2.48075	2.43731	1.99968	2.16214	2.15917	2.1505	2.1708	2.2201	2.26368	2.26368	2.2201	2.1708	2.1505	2.15917	2.16214	1.99968	2.43731	2.48075	2.00633	2.25639	1.96908	1.79742	1.50355	1.15658	0.906	1.01785	0.81014	1.22438	1.56529	1.83331	1.82729	2.21008	2.05257	1.71555	1.3815	0.84379	0.77476	0.79537	0.46611	0.65184	0.96776	0.99579	1.04274	1.06379	1.05296	1.01514	0.88773	0.92414
22	0	0.66713	0.99405	1.037	1.01299	0.9355	0.83331	0.66614	0.53876	0.60821	0.76053	0.73517	0.70309	1.07459	1.35404	1.70422	1.96444	1.51368	1.3992	1.43243	1.41441	1.05158	1.07279	1.05343	1.18613	1.47959	1.55661	1.62539	1.84003	1.67193	1.97531	2.46132	2.46115	2.51084	2.51695	2.46808	2.47429	2.53558	2.5419	2.5419	2.53558	2.47429	2.46808	2.51695	2.51084	2.46115	2.46132	1.97531	1.67193	1.84003	1.62539	1.55661	1.47959	1.18613	1.05343	1.07279	1.05158	1.41441	1.43243	1.3992	1.51368	1.96444	1.70422	1.35404	1.07459	0.70309	0.73517	0.76053	0.60821	0.53876	0.66614	0.83331	0.9355	1.01299	1.037	0.99405	0.66713	0
