lateral	-38.5	-37.5	-36.5	-35.5	-34.5	-33.5	-32.5	-31.5	-30.5	-29.5	-28.5	-27.5	-26.5	-25.5	-24.5	-23.5	-22.5	-21.5	-20.5	-19.5	-18.5	-17.5	-16.5	-15.5	-14.5	-13.5	-12.5	-11.5	-10.5	-9.5	-8.5	-7.5	-6.5	-5.5	-4.5	-3.5	-2.5	-1.5	-0.5	0.5	1.5	2.5	3.5	4.5	5.5	6.5	7.5	8.5	9.5	10.5	11.5	12.5	13.5	14.5	15.5	16.5	17.5	18.5	19.5	20.5	21.5	22.5	23.5	24.5	25.5	26.5	27.5	28.5	29.5	30.5	31.5	32.5	33.5	34.5	35.5	36.5	37.5	38.5
DFB	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
13	0.48355	3.20111	3.66321	3.68054	3.82101	3.98957	4.23177	4.61267	4.90062	5.88233	6.24649	7.57608	8.34154	9.7796	11.03983	11.98856	12.97775	13.97367	14.65794	14.80934	15.11207	15.2735	14.28761	13.52173	12.69907	11.32432	10.17728	8.73881	7.82761	6.47807	5.539	5.489	5.19713	5.12576	5.05211	5.00355	4.99463	5.02535	5.08116	5.08116	5.02535	4.99463	5.00355	5.05211	5.12576	5.19713	5.489	5.539	6.47807	7.82761	8.73881	10.17728	11.32432	12.69907	13.52173	14.28761	15.2735	15.11207	14.80934	14.65794	13.97367	12.97775	11.98856	11.03983	9.7796	8.34154	7.57608	6.24649	5.88233	4.90062	4.61267	4.23177	3.98957	3.82101	3.68054	3.66321	3.20111	5.27366
14	0.35165	3.02926	3.77701	3.89643	4.30271	4.74154	5.23271	5.70122	6.22171	6.42178	7.2512	8.52762	9.62767	10.83195	12.02117	13.9084	15.06425	15.82784	16.81315	16.92823	16.53948	15.46707	15.5633	14.27377	12.7651	11.44648	10.19955	9.80043	8.56183	7.62109	7.18927	6.3636	6.1693	5.79907	5.60266	5.48611	5.43983	5.46382	5.56767	5.56767	5.46382	5.43983	5.48611	5.60266	5.79907	6.1693	6.3636	7.18927	7.62109	8.56183	9.80043	10.19955	11.44648	12.7651	14.27377	15.5633	15.46707	16.53948	16.92823	16.81315	15.82784	15.06425	13.9084	12.02117	10.83195	9.62767	8.52762	7.2512	6.42178	6.22171	5.70122	5.23271	4.74154	4.30271	3.89643	3.77701	3.02926	7.32827
15	1.01328	3.39276	4.16135	4.12619	4.51209	4.98938	5.59345	6.21434	6.98198	8.22976	9.41917	10.57074	11.61362	13.06338	14.43464	15.36499	16.27416	17.08057	17.40169	17.40076	16.45549	16.4196	15.28593	14.6909	13.52991	12.23529	11.38553	10.36055	8.73639	8.07634	7.41867	6.64398	5.73488	6.08322	6.15362	6.31105	6.3546	6.28425	6.30093	6.30093	6.28425	6.3546	6.31105	6.15362	6.08322	5.73488	6.64398	7.41867	8.07634	8.73639	10.36055	11.38553	12.23529	13.52991	14.6909	15.28593	16.4196	16.45549	17.40076	17.40169	17.08057	16.27416	15.36499	14.43464	13.06338	11.61362	10.57074	9.41917	8.22976	6.98198	6.21434	5.59345	4.98938	4.51209	4.12619	4.16135	3.39276	9.37008
16	1.6322	4.60684	5.31529	5.29337	5.55248	5.8968	6.3957	7.35871	8.10534	9.16984	10.6389	11.78741	13.23627	14.46278	15.91539	16.86263	17.45975	18.10338	17.96025	18.21468	17.27594	16.55239	15.95006	14.96514	13.89442	12.76362	12.0874	10.98684	10.10668	9.47489	7.97464	7.34314	6.23664	5.92725	5.74987	5.83214	5.79347	5.63385	5.73388	5.73388	5.63385	5.79347	5.83214	5.74987	5.92725	6.23664	7.34314	7.97464	9.47489	10.10668	10.98684	12.0874	12.76362	13.89442	14.96514	15.95006	16.55239	17.27594	18.21468	17.96025	18.10338	17.45975	16.86263	15.91539	14.46278	13.23627	11.78741	10.6389	9.16984	8.10534	7.35871	6.3957	5.8968	5.55248	5.29337	5.31529	4.60684	8.73545
17	2.89951	4.21853	5.23788	5.44262	6.04405	6.72062	7.50767	8.32809	9.62376	10.60362	11.7779	12.93635	14.02013	15.63749	16.83176	17.68427	18.58615	18.4924	18.09601	18.19279	17.47627	16.80019	15.98705	15.15939	14.16138	13.47433	12.7658	11.87419	11.04839	10.42555	8.97304	8.04631	6.96742	6.8103	6.63232	6.63421	6.61457	6.5734	6.7121	6.7121	6.5734	6.61457	6.63421	6.63232	6.8103	6.96742	8.04631	8.97304	10.42555	11.04839	11.87419	12.7658	13.47433	14.16138	15.15939	15.98705	16.80019	17.47627	18.19279	18.09601	18.4924	18.58615	17.68427	16.83176	15.63749	14.02013	12.93635	11.7779	10.60362	9.62376	8.32809	7.50767	6.72062	6.04405	5.44262	5.23788	4.21853	9.78096
18	3.32406	4.16717	5.26812	5.44414	6.12885	6.9219	7.85616	9.03353	9.95728	11.25661	12.74528	14.22422	15.71243	16.71661	17.93016	18.65297	18.88952	18.91856	18.97275	18.54782	17.49038	17.18688	16.49838	15.32746	14.97599	13.73156	13.32555	12.0998	11.14494	10.13563	9.80775	8.72965	8.43455	8.16068	8.00116	7.93597	7.90173	7.89846	7.98951	7.98951	7.89846	7.90173	7.93597	8.00116	8.16068	8.43455	8.72965	9.80775	10.13563	11.14494	12.0998	13.32555	13.73156	14.97599	15.32746	16.49838	17.18688	17.49038	18.54782	18.97275	18.91856	18.88952	18.65297	17.93016	16.71661	15.71243	14.22422	12.74528	11.25661	9.95728	9.03353	7.85616	6.9219	6.12885	5.44414	5.26812	4.16717	11.08774
19	5.32542	5.82311	6.84129	7.01834	7.4651	7.96031	8.57368	9.22406	10.47321	11.70314	13.10134	14.91331	16.0216	17.3862	18.48163	19.34418	19.41086	19.11796	18.61743	18.01472	17.55869	17.06937	16.60561	16.01961	15.27349	14.54567	14.1855	12.98934	12.04017	10.94808	10.16068	9.15163	8.3021	8.11569	7.94911	7.94258	7.91928	7.8792	7.99918	7.99918	7.8792	7.91928	7.94258	7.94911	8.11569	8.3021	9.15163	10.16068	10.94808	12.04017	12.98934	14.1855	14.54567	15.27349	16.01961	16.60561	17.06937	17.55869	18.01472	18.61743	19.11796	19.41086	19.34418	18.48163	17.3862	16.0216	14.91331	13.10134	11.70314	10.47321	9.22406	8.57368	7.96031	7.4651	7.01834	6.84129	5.82311	10.08614
20	5.44608	5.11907	6.31336	6.55724	7.25639	8.04799	8.97865	9.9944	11.03275	13.17095	14.21837	15.56514	17.17073	18.36621	18.75836	19.25158	19.13573	19.10855	18.66923	17.79042	17.15212	17.35627	16.50175	16.12512	16.20091	15.59879	14.97649	14.14098	12.77275	12.00872	10.48921	9.41676	8.93176	8.524	8.35888	8.41553	8.36456	8.20597	8.26914	8.26914	8.20597	8.36456	8.41553	8.35888	8.524	8.93176	9.41676	10.48921	12.00872	12.77275	14.14098	14.97649	15.59879	16.20091	16.12512	16.50175	17.35627	17.15212	17.79042	18.66923	19.10855	19.13573	19.25158	18.75836	18.36621	17.17073	15.56514	14.21837	13.17095	11.03275	9.9944	8.97865	8.04799	7.25639	6.55724	6.31336	5.11907	11.46971
21	5.0277	5.41833	6.7207	7.0735	7.85119	8.69519	9.64734	10.66461	11.92244	13.23954	14.54385	15.93428	17.23913	17.94277	18.97866	19.22794	19.31587	19.25421	18.68459	17.82196	17.52388	17.25176	16.80049	17.08951	16.40175	15.83221	15.75616	14.72545	13.44784	12.72755	10.78902	8.82489	8.59395	8.13477	8.09822	8.44655	8.38916	7.92602	7.84778	7.84778	7.92602	8.38916	8.44655	8.09822	8.13477	8.59395	8.82489	10.78902	12.72755	13.44784	14.72545	15.75616	15.83221	16.40175	17.08951	16.80049	17.25176	17.52388	17.82196	18.68459	19.25421	19.31587	19.22794	18.97866	17.94277	17.23913	15.93428	14.54385	13.23954	11.92244	10.66461	9.64734	8.69519	7.85119	7.0735	6.7207	5.41833	11.48096
22	4.65515	6.48751	7.53271	7.61331	8.03817	8.55858	9.26546	10.38672	11.94538	13.47572	14.88326	16.06611	17.42257	18.27114	18.89659	18.70277	18.87276	18.4113	17.97459	18.084	17.94555	17.40431	17.50776	17.35263	17.16356	16.8227	16.26119	15.10272	14.10822	12.68237	11.59972	10.89962	10.0902	9.68147	9.41986	9.32208	9.27099	9.26659	9.42602	9.42602	9.26659	9.27099	9.32208	9.41986	9.68147	10.0902	10.89962	11.59972	12.68237	14.10822	15.10272	16.26119	16.8227	17.16356	17.35263	17.50776	17.40431	17.94555	18.084	17.97459	18.4113	18.87276	18.70277	18.89659	18.27114	17.42257	16.06611	14.88326	13.47572	11.94538	10.38672	9.26546	8.55858	8.03817	7.61331	7.53271	6.48751	11.62219
