lateral	-38.5	-37.5	-36.5	-35.5	-34.5	-33.5	-32.5	-31.5	-30.5	-29.5	-28.5	-27.5	-26.5	-25.5	-24.5	-23.5	-22.5	-21.5	-20.5	-19.5	-18.5	-17.5	-16.5	-15.5	-14.5	-13.5	-12.5	-11.5	-10.5	-9.5	-8.5	-7.5	-6.5	-5.5	-4.5	-3.5	-2.5	-1.5	-0.5	0.5	1.5	2.5	3.5	4.5	5.5	6.5	7.5	8.5	9.5	10.5	11.5	12.5	13.5	14.5	15.5	16.5	17.5	18.5	19.5	20.5	21.5	22.5	23.5	24.5	25.5	26.5	27.5	28.5	29.5	30.5	31.5	32.5	33.5	34.5	35.5	36.5	37.5	38.5
DFB	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
13	0.34755	0	0	0	0	0	0.19518	0.50232	0.67711	0.75098	1.04159	0.88067	0.60714	0.56807	0.36475	0.11528	0.24354	0.42904	0.61477	0.40509	0.24805	0.15195	0.39783	0.07779	0	0	0.52911	0.42913	0.95563	0.61992	0.82119	0.70613	0.31684	0.41448	0.45499	0.56684	0.57904	0.4916	0.4755	0.4755	0.4916	0.57904	0.56684	0.45499	0.41448	0.31684	0.70613	0.82119	0.61992	0.95563	0.42913	0.52911	0	0	0.07779	0.39783	0.15195	0.24805	0.40509	0.61477	0.42904	0.24354	0.11528	0.36475	0.56807	0.60714	0.88067	1.04159	0.75098	0.67711	0.50232	0.19518	0	0	0	0	0	0.34755
14	0.40139	0	0	0	0	0	0.35908	0.62348	0.94297	0.91367	1.2172	1.20265	0.97874	0.99656	0.54286	0.15825	0.25619	0.38838	0.50295	0.48063	0.59689	0.48392	0.70308	0.05387	0.05472	0.8516	0.52802	0.39119	0.07652	0.58004	0.30445	0.32142	0.89746	0.56876	0.46325	0.32547	0.28438	0.33998	0.36332	0.36332	0.33998	0.28438	0.32547	0.46325	0.56876	0.89746	0.32142	0.30445	0.58004	0.07652	0.39119	0.52802	0.8516	0.05472	0.05387	0.70308	0.48392	0.59689	0.48063	0.50295	0.38838	0.25619	0.15825	0.54286	0.99656	0.97874	1.20265	1.2172	0.91367	0.94297	0.62348	0.35908	0	0	0	0	0	0.40139
15	0.39918	0	0	0	0	0	0.29137	0.68954	0.83538	1.09078	1.41541	1.49311	1.37107	1.14809	0.62375	0.49964	0.85222	0.90704	0.73367	0.80375	0.36904	0.57764	0.60362	0.43158	0.30804	0.5309	0.63826	1.19135	1.07045	1.11762	0.54096	0.89444	0.83618	0.89857	1.06559	1.3617	1.3695	1.08899	0.93756	0.93756	1.08899	1.3695	1.3617	1.06559	0.89857	0.83618	0.89444	0.54096	1.11762	1.07045	1.19135	0.63826	0.5309	0.30804	0.43158	0.60362	0.57764	0.36904	0.80375	0.73367	0.90704	0.85222	0.49964	0.62375	1.14809	1.37107	1.49311	1.41541	1.09078	0.83538	0.68954	0.29137	0	0	0	0	0	0.39918
16	0.58675	0	0	0	0	0	0.42937	0.87746	1.30234	1.63946	1.87644	1.95638	1.70243	1.3796	0.93783	0.52997	0.73752	0.74494	0.71333	0.67369	0.8687	0.75495	0.53481	0.63961	0.95631	1.0266	1.54383	2.00138	2.10559	2.5091	2.43363	2.49717	2.19783	1.85313	1.75595	1.81496	1.77188	1.62669	1.6377	1.6377	1.62669	1.77188	1.81496	1.75595	1.85313	2.19783	2.49717	2.43363	2.5091	2.10559	2.00138	1.54383	1.0266	0.95631	0.63961	0.53481	0.75495	0.8687	0.67369	0.71333	0.74494	0.73752	0.52997	0.93783	1.3796	1.70243	1.95638	1.87644	1.63946	1.30234	0.87746	0.42937	0	0	0	0	0	0.58675
17	0.7026	0	0	0	0	0	0.53699	0.93084	1.14328	1.52356	1.68932	1.82828	1.76721	1.52189	1.19718	1.03168	1.83326	1.56774	1.68587	1.66028	1.48235	1.60754	1.39177	1.44302	1.05378	1.24228	1.82975	2.34562	2.60186	2.74379	3.11362	3.36758	2.94015	2.92965	2.87988	2.86402	2.86271	2.87594	2.92308	2.92308	2.87594	2.86271	2.86402	2.87988	2.92965	2.94015	3.36758	3.11362	2.74379	2.60186	2.34562	1.82975	1.24228	1.05378	1.44302	1.39177	1.60754	1.48235	1.66028	1.68587	1.56774	1.83326	1.03168	1.19718	1.52189	1.76721	1.82828	1.68932	1.52356	1.14328	0.93084	0.53699	0	0	0	0	0	0.7026
18	0.63397	0	0	0	0	0	0.44574	1.14232	1.20386	1.95987	2.21576	2.49095	2.47075	2.36272	1.95711	1.20797	1.75543	2.09134	1.6608	1.56131	1.13805	1.91293	2.26012	2.3702	2.5792	2.66662	2.96147	3.08706	3.79874	3.51262	3.37254	2.87016	2.92404	3.16312	3.24592	3.30348	3.33336	3.33558	3.31254	3.31254	3.33558	3.33336	3.30348	3.24592	3.16312	2.92404	2.87016	3.37254	3.51262	3.79874	3.08706	2.96147	2.66662	2.5792	2.3702	2.26012	1.91293	1.13805	1.56131	1.6608	2.09134	1.75543	1.20797	1.95711	2.36272	2.47075	2.49095	2.21576	1.95987	1.20386	1.14232	0.44574	0	0	0	0	0	0.63397
19	0.45545	0	0	0	0	0	0.21925	1.23602	1.45405	2.0137	2.50644	3.13039	3.04712	2.92952	2.79643	1.94366	2.1409	2.18256	2.24604	2.43968	1.99378	2.26288	2.44766	2.74965	2.27713	2.42779	3.06868	3.10325	3.96959	3.9044	4.09862	4.95357	5.19368	5.26636	5.3118	5.26893	5.27802	5.33905	5.31179	5.31179	5.33905	5.27802	5.26893	5.3118	5.26636	5.19368	4.95357	4.09862	3.9044	3.96959	3.10325	3.06868	2.42779	2.27713	2.74965	2.44766	2.26288	1.99378	2.43968	2.24604	2.18256	2.1409	1.94366	2.79643	2.92952	3.04712	3.13039	2.50644	2.0137	1.45405	1.23602	0.21925	0	0	0	0	0	0.45545
20	0.69642	0	0	0	0	0	0.4608	1.24646	1.59538	2.05305	2.30105	2.58668	2.73754	2.81793	2.34116	1.96033	2.59577	2.74465	3.28844	3.15235	2.95483	3.33512	3.27815	3.27999	3.19686	3.6824	3.57115	3.92385	3.90729	4.63965	4.45025	5.03886	4.90747	5.23193	5.33577	5.36492	5.40548	5.45744	5.43472	5.43472	5.45744	5.40548	5.36492	5.33577	5.23193	4.90747	5.03886	4.45025	4.63965	3.90729	3.92385	3.57115	3.6824	3.19686	3.27999	3.27815	3.33512	2.95483	3.15235	3.28844	2.74465	2.59577	1.96033	2.34116	2.81793	2.73754	2.58668	2.30105	2.05305	1.59538	1.24646	0.4608	0	0	0	0	0	0.69642
21	0.50179	0	0	0	0	0	0.3581	1.14548	1.65239	2.36426	2.59411	2.96329	2.88394	3.06369	3.03171	2.52206	2.91697	2.86115	3.04162	3.3181	3.15283	3.67427	3.28881	3.94314	3.94661	4.3887	4.90474	5.02623	4.68037	4.82508	4.59846	4.63581	4.64339	4.84892	5.00095	5.18877	5.21446	5.07802	4.97738	4.97738	5.07802	5.21446	5.18877	5.00095	4.84892	4.64339	4.63581	4.59846	4.82508	4.68037	5.02623	4.90474	4.3887	3.94661	3.94314	3.28881	3.67427	3.15283	3.3181	3.04162	2.86115	2.91697	2.52206	3.03171	3.06369	2.88394	2.96329	2.59411	2.36426	1.65239	1.14548	0.3581	0	0	0	0	0	0.50179
22	0.95967	0	0	0	0	0	0.67493	1.22082	1.88244	2.50125	2.88854	3.27996	3.11336	3.07124	2.67283	2.28639	2.96964	3.35956	3.43515	3.32655	4.05857	3.94598	3.99224	4.18525	3.79842	4.18113	4.6358	5.06378	4.86297	4.99599	4.72157	5.05588	5.26831	4.88124	4.81613	4.84499	4.7966	4.67098	4.63932	4.63932	4.67098	4.7966	4.84499	4.81613	4.88124	5.26831	5.05588	4.72157	4.99599	4.86297	5.06378	4.6358	4.18113	3.79842	4.18525	3.99224	3.94598	4.05857	3.32655	3.43515	3.35956	2.96964	2.28639	2.67283	3.07124	3.11336	3.27996	2.88854	2.50125	1.88244	1.22082	0.67493	0	0	0	0	0	0.95967
