"T","arc_length","Points:0","Points:1","Points:2"
353.96,0.07098,0.08098,0,0
352.63,0.071162,0.081162,0,0
351.36,0.071344,0.081344,0,0
350.12,0.071526,0.081526,0,0
348.93,0.071708,0.081708,0,0
347.76,0.07189,0.08189,0,0
346.64,0.072072,0.082072,0,0
345.54,0.072254,0.082254,0,0
344.49,0.072436,0.082436,0,0
343.46,0.072618,0.082618,0,0
342.48,0.0728,0.0828,0,0
341.5,0.072982,0.082982,0,0
340.58,0.073164,0.083164,0,0
339.67,0.073346,0.083346,0,0
338.81,0.073528,0.083528,0,0
337.95,0.07371,0.08371,0,0
337.15,0.073892,0.083892,0,0
336.34,0.074074,0.084074,0,0
335.59,0.074256,0.084256,0,0
334.84,0.074438,0.084438,0,0
334.13,0.07462,0.08462,0,0
333.42,0.074802,0.084802,0,0
332.75,0.074984,0.084984,0,0
332.1,0.075166,0.085166,0,0
331.47,0.075348,0.085348,0,0
330.86,0.07553,0.08553,0,0
330.27,0.075712,0.085712,0,0
329.69,0.075894,0.085894,0,0
329.14,0.076076,0.086076,0,0
328.6,0.076258,0.086258,0,0
328.08,0.07644,0.08644,0,0
327.58,0.076622,0.086622,0,0
327.09,0.076804,0.086804,0,0
326.62,0.076986,0.086986,0,0
326.16,0.077168,0.087168,0,0
325.72,0.07735,0.08735,0,0
325.29,0.077532,0.087532,0,0
324.88,0.077714,0.087714,0,0
324.48,0.077896,0.087896,0,0
324.09,0.078078,0.088078,0,0
323.72,0.07826,0.08826,0,0
323.35,0.078442,0.088442,0,0
323,0.078624,0.088624,0,0
322.65,0.078806,0.088806,0,0
322.33,0.078988,0.088988,0,0
322,0.07917,0.08917,0,0
321.69,0.079352,0.089352,0,0
321.39,0.079534,0.089534,0,0
321.1,0.079716,0.089716,0,0
320.82,0.079898,0.089898,0,0
320.54,0.08008,0.09008,0,0
320.28,0.080262,0.090262,0,0
320.02,0.080444,0.090444,0,0
319.77,0.080626,0.090626,0,0
319.52,0.080808,0.090808,0,0
319.29,0.08099,0.09099,0,0
319.06,0.081172,0.091172,0,0
318.85,0.081354,0.091354,0,0
318.63,0.081536,0.091536,0,0
318.42,0.081718,0.091718,0,0
318.22,0.0819,0.0919,0,0
318.02,0.082082,0.092082,0,0
317.84,0.082264,0.092264,0,0
317.65,0.082446,0.092446,0,0
317.48,0.082628,0.092628,0,0
317.3,0.08281,0.09281,0,0
317.13,0.082992,0.092992,0,0
316.97,0.083174,0.093174,0,0
316.81,0.083356,0.093356,0,0
316.66,0.083538,0.093538,0,0
316.51,0.08372,0.09372,0,0
316.37,0.083902,0.093902,0,0
316.23,0.084084,0.094084,0,0
316.09,0.084266,0.094266,0,0
315.96,0.084448,0.094448,0,0
315.83,0.08463,0.09463,0,0
315.7,0.084812,0.094812,0,0
315.58,0.084994,0.094994,0,0
315.46,0.085176,0.095176,0,0
315.35,0.085358,0.095358,0,0
315.23,0.08554,0.09554,0,0
315.13,0.085722,0.095722,0,0
315.02,0.085904,0.095904,0,0
314.92,0.086086,0.096086,0,0
314.82,0.086268,0.096268,0,0
314.72,0.08645,0.09645,0,0
314.63,0.086632,0.096632,0,0
314.53,0.086814,0.096814,0,0
314.45,0.086996,0.096996,0,0
314.36,0.087178,0.097178,0,0
314.27,0.08736,0.09736,0,0
314.19,0.087542,0.097542,0,0
314.11,0.087724,0.097724,0,0
314.03,0.087906,0.097906,0,0
313.96,0.088088,0.098088,0,0
313.88,0.08827,0.09827,0,0
313.81,0.088452,0.098452,0,0
313.74,0.088634,0.098634,0,0
313.67,0.088816,0.098816,0,0
313.61,0.088998,0.098998,0,0
313.54,0.08918,0.09918,0,0
313.48,0.089362,0.099362,0,0
313.42,0.089544,0.099544,0,0
313.36,0.089726,0.099726,0,0
313.3,0.089908,0.099908,0,0
313.24,0.09009,0.10009,0,0
313.19,0.090272,0.10027,0,0
313.13,0.090454,0.10045,0,0
313.08,0.090636,0.10064,0,0
313.03,0.090818,0.10082,0,0
312.98,0.091,0.101,0,0
312.93,0.091182,0.10118,0,0
312.88,0.091364,0.10136,0,0
312.83,0.091546,0.10155,0,0
312.79,0.091728,0.10173,0,0
312.74,0.09191,0.10191,0,0
312.7,0.092092,0.10209,0,0
312.66,0.092274,0.10227,0,0
312.62,0.092456,0.10246,0,0
312.58,0.092638,0.10264,0,0
312.54,0.09282,0.10282,0,0
312.5,0.093002,0.103,0,0
312.46,0.093184,0.10318,0,0
312.42,0.093366,0.10337,0,0
312.39,0.093548,0.10355,0,0
312.35,0.09373,0.10373,0,0
312.32,0.093912,0.10391,0,0
312.29,0.094094,0.10409,0,0
312.25,0.094276,0.10428,0,0
312.22,0.094458,0.10446,0,0
312.19,0.09464,0.10464,0,0
312.16,0.094822,0.10482,0,0
312.13,0.095004,0.105,0,0
312.1,0.095186,0.10519,0,0
312.07,0.095368,0.10537,0,0
312.04,0.09555,0.10555,0,0
312.02,0.095732,0.10573,0,0
311.99,0.095914,0.10591,0,0
311.96,0.096096,0.1061,0,0
311.94,0.096278,0.10628,0,0
311.91,0.09646,0.10646,0,0
311.89,0.096642,0.10664,0,0
311.87,0.096824,0.10682,0,0
311.84,0.097006,0.10701,0,0
311.82,0.097188,0.10719,0,0
311.8,0.09737,0.10737,0,0
311.78,0.097552,0.10755,0,0
311.75,0.097734,0.10773,0,0
311.73,0.097916,0.10792,0,0
311.71,0.098098,0.1081,0,0
311.69,0.09828,0.10828,0,0
311.67,0.098462,0.10846,0,0
